Cycle,T10_R0,T10_R1,T10_R3,T25_R0,T25_R1,T25_R3,T40_R0,T40_R1,T40_R3
1,3.986978156,3.978511492,3.978565816,3.972675044,4.013873806,3.974445049,3.994656099,3.962039378,3.971545233
2,3.988460306,3.97742043,3.975824894,3.969222802,4.008502966,3.974801799,3.993686474,3.957513948,3.973134657
3,3.986812478,3.977651942,3.97741576,3.970812128,4.004922708,3.976393785,3.994182663,3.959100487,3.97452959
4,3.984473529,3.974995857,3.979006627,3.970737165,4.006530351,3.977985772,3.993424818,3.960184713,3.970985289
5,3.985505102,3.976587723,3.980487262,3.968371388,4.008137995,3.974739031,3.989889846,3.957766097,3.967317984
6,3.985516062,3.973345253,3.977996894,3.966678616,4.009745638,3.976331017,3.987759577,3.959031654,3.963250141
7,3.980305276,3.973235878,3.974639633,3.965200218,4.010745312,3.977923003,3.985034294,3.955238429,3.964839565
8,3.977335702,3.971492836,3.972266377,3.960741176,4.00294647,3.976769315,3.98327037,3.956827226,3.96642899
9,3.977927213,3.969601808,3.972705144,3.962330501,4.001940442,3.972491828,3.979380576,3.951993959,3.966235502
10,3.972145677,3.971193675,3.966317103,3.96117481,4.003548085,3.971877729,3.980978208,3.947825775,3.966274801
11,3.971856807,3.96515933,3.96790797,3.962764135,4.002617862,3.97223746,3.976978034,3.939844381,3.96711974
12,3.97345609,3.966751197,3.968402834,3.958416813,3.999073933,3.970061159,3.973309229,3.941433178,3.968709164
13,3.968885435,3.968343063,3.9699937,3.958062377,3.996747572,3.970183185,3.97073484,3.943021975,3.965489995
14,3.969507839,3.969445961,3.971584567,3.955605244,3.997361308,3.96527911,3.969588998,3.941805306,3.967079419
15,3.969616637,3.968115896,3.966678766,3.957194569,3.996777791,3.961132453,3.965027438,3.942001646,3.960304562
16,3.96723387,3.966960376,3.968269633,3.958783895,3.994919479,3.962724439,3.962788156,3.935429709,3.957678336
17,3.968833153,3.964690834,3.969860499,3.955653804,3.989578599,3.964316425,3.96295595,3.937018506,3.95926776
18,3.970432436,3.961677895,3.968144769,3.956885309,3.991186242,3.960577749,3.957610338,3.933534645,3.954146949
19,3.972031719,3.958728937,3.962248358,3.94989598,3.992793885,3.962169735,3.954360698,3.935123442,3.949708371
20,3.972882916,3.960320803,3.959641965,3.951485305,3.99333228,3.962807388,3.952822929,3.930534444,3.951297795
21,3.968294356,3.956458966,3.961232832,3.943473294,3.993963183,3.960635074,3.949541388,3.926660047,3.950072737
22,3.967694528,3.958050833,3.960711816,3.94506262,3.995570826,3.957194867,3.944207121,3.927058745,3.949806851
23,3.966211464,3.954886122,3.962302682,3.944067059,3.993505166,3.957221804,3.939854823,3.928647542,3.94833607
24,3.966746561,3.956477988,3.954541335,3.944039897,3.995112809,3.95881379,3.938081937,3.927073543,3.94531467
25,3.968345844,3.952920871,3.952431016,3.941362937,3.990808908,3.958650398,3.939113198,3.925358142,3.940687056
26,3.962563418,3.952482263,3.953069121,3.942290947,3.992416551,3.957709429,3.933693443,3.926946939,3.939433434
27,3.964162701,3.950885668,3.954236562,3.940631239,3.989561762,3.95825299,3.935233855,3.921263624,3.937038339
28,3.960762138,3.95010812,3.955827429,3.942220565,3.986054975,3.959133296,3.929528988,3.921594388,3.938627763
29,3.960132352,3.949351798,3.947835478,3.943587772,3.982347134,3.958488887,3.931126619,3.915805296,3.937884305
30,3.960650271,3.946663925,3.943900337,3.941348026,3.983954777,3.956186641,3.927635529,3.917394093,3.936786888
31,3.951586284,3.940813805,3.944224764,3.936041459,3.98556242,3.95773736,3.923006562,3.918982891,3.931738385
32,3.953185567,3.942405672,3.944685102,3.937630785,3.985255111,3.952393004,3.923312397,3.915466706,3.933016771
33,3.951948494,3.939174546,3.945571352,3.932319755,3.986862754,3.95398499,3.919791835,3.917055503,3.934606195
34,3.948945674,3.938379104,3.943179626,3.933909081,3.988470397,3.951429234,3.918788859,3.916038458,3.932338991
35,3.950544957,3.93324657,3.938527951,3.931199171,3.99007804,3.946670152,3.918169906,3.917627255,3.929325993
36,3.9505977,3.934838436,3.940118818,3.923570738,3.984150637,3.945959001,3.913766285,3.915733347,3.92578519
37,3.946331427,3.934047398,3.934037512,3.925160064,3.980912042,3.94223887,3.91108159,3.91136703,3.927374614
38,3.943922186,3.933979423,3.934992326,3.926749389,3.982519685,3.941658362,3.90854532,3.908648239,3.928964038
39,3.940458708,3.933794204,3.930843667,3.9280115,3.984127328,3.939702815,3.904344753,3.908216094,3.930553463
40,3.932359575,3.933949795,3.932434534,3.922025256,3.985279305,3.93535047,3.903521837,3.906233165,3.930868898
41,3.933958858,3.925917679,3.933315532,3.923614582,3.97743595,3.936942456,3.905119469,3.907821963,3.927926629
42,3.935558141,3.919338933,3.930277177,3.922710217,3.977555807,3.931988503,3.899261325,3.90941076,3.924574135
43,3.937157424,3.9209308,3.931868044,3.921936118,3.970848152,3.933464901,3.900858957,3.904993651,3.925463283
44,3.933869845,3.922522666,3.93114065,3.923525444,3.969855164,3.935056887,3.899501615,3.901629479,3.922442772
45,3.935469128,3.924114532,3.926961325,3.925114769,3.971462807,3.926875215,3.898673745,3.901231609,3.919784665
46,3.931049285,3.925706399,3.923458968,3.922811607,3.97307045,3.928467201,3.896053812,3.895386897,3.92059748
47,3.932648568,3.927298265,3.919102506,3.923028767,3.97427204,3.929453737,3.894791505,3.896389717,3.92006928
48,3.933870308,3.928890132,3.918683094,3.917574349,3.975879683,3.931045723,3.890140609,3.893179431,3.921658704
49,3.929438203,3.928272503,3.915374052,3.919163675,3.972502352,3.928363745,3.891738241,3.893433685,3.913554759
50,3.931037486,3.923189415,3.910695783,3.920147843,3.971387632,3.922172947,3.893014836,3.894413503,3.915144183
51,3.932411794,3.921721507,3.910773469,3.91118423,3.972405307,3.922104665,3.884537406,3.893772955,3.916733607
52,3.924407091,3.919630298,3.912364336,3.912773556,3.966667536,3.920016199,3.886135038,3.890567924,3.914647126
53,3.926006374,3.915272159,3.9095864,3.911285666,3.961015302,3.914772951,3.881825075,3.89007818,3.915827863
54,3.926382097,3.91423667,3.910525959,3.912211232,3.962622945,3.909442313,3.883422706,3.886516248,3.910879086
55,3.92489363,3.905950036,3.911693233,3.9077083,3.96408951,3.911034299,3.882060199,3.888105045,3.91246851
56,3.92007424,3.907327508,3.9132841,3.909171397,3.961823771,3.908929809,3.879132961,3.885832063,3.911344946
57,3.921673523,3.902397342,3.912227576,3.902112081,3.959818557,3.902593952,3.875123832,3.882484515,3.908801855
58,3.923272806,3.902929866,3.908771228,3.903701407,3.957725534,3.904185938,3.867128539,3.88247893,3.903903914
59,3.915998226,3.893530738,3.905986414,3.901748725,3.959333177,3.901449868,3.863098497,3.880099795,3.900505962
60,3.917597509,3.893834875,3.90363844,3.903338051,3.959306237,3.90205352,3.864696128,3.881053188,3.902095386
61,3.919196792,3.89358772,3.905229307,3.900740002,3.955239428,3.903645507,3.86629376,3.877195319,3.90368481
62,3.911644543,3.88957156,3.906820173,3.897756645,3.956847071,3.898108034,3.859531847,3.87686087,3.903143987
63,3.911969756,3.886268667,3.906433434,3.896133476,3.956041053,3.897010643,3.861129479,3.877189507,3.904733412
64,3.910730009,3.879878746,3.901521231,3.896584419,3.95482751,3.897368408,3.859688315,3.864910142,3.89702547
65,3.910967036,3.880175478,3.901050445,3.894456714,3.956435153,3.894108008,3.858345718,3.866498939,3.898614894
66,3.912566319,3.875681654,3.898782638,3.895274828,3.95141584,3.895699994,3.858251995,3.866364254,3.895914795
67,3.911605699,3.874828883,3.900373505,3.896864154,3.952521504,3.890769894,3.856891204,3.867370989,3.897504219
